item_code,item_category,item_sub_department,item_department
1016782,Instant Chocolate Drinks,Chocolate Drink,Beverages
94111,Cheese Blocks,Cheese,Chilled
839302,Prepared Meals,Baby Foods,Grocery
1070377,Sugar Confectionary,Confectionery,Grocery
1077721,Cereal Bars,Cereals,Grocery
26647,Crisp/Chips,Snacks,Grocery
93877,Paste/Mixes,Seasoning,Grocery
908458,Body Cleansing,Hand & Body Care,Household
406672,Body Cleansing,Hand & Body Care,Household
1053709,Eye Cosmetics,Cosmetics,Household
236347,Lip Cosmetics,Cosmetics,Household
1015909,Men's Fragrance,Men's Toiletries,Household
393685,Men's Hair Treatment,Men's Toiletries,Household
259441,Washing Detergents,Laundry Care,Household
530962,Washing Detergents,Laundry Care,Household
423934,Facial Cleansing,Facial Care,Household
66427,Car Care Cleaning  Exterior,Car Care,Household
1010617,Pet Food,Pet Care,Household
124927,Pet Food,Pet Care,Household
97081,Cordial,Juices,Beverages
64645,RTD,Juices,Beverages
283165,Powdered Milk,Milk & Creamers,Beverages
826531,Set Yogurt,Yoghurt,Chilled
1106953,Pastes,Seasoning & Coconut Cream,Grocery
55348,Meal Accompaniments,Meal Accompaniments,Grocery
897595,Prepared Meals,Baby Foods,Grocery
272158,Muesli,Cereals,Grocery
1103776,Ambient Cooking Sauces,Sauce,Grocery
367288,Ambient Cooking Sauces,Sauce,Grocery
887695,Paste/Mixes,Seasoning,Grocery
854665,Paste/Mixes,Seasoning,Grocery
998809,Lip Cosmetics,Cosmetics,Household
1066282,Lip Cosmetics,Cosmetics,Household
970837,Lip Cosmetics,Cosmetics,Household
1095289,Men's Facial Care,Men's Toiletries,Household
1048444,Washing Detergents,Laundry Care,Household
1031299,Baby Ready Meals,Baby Foods,Household
1024927,Accessories,Baby Needs,Household
124702,Facial Cleansing,Facial Care,Household
109528,Car Care Cleaning  Exterior,Car Care,Household
217159,Pet Food,Pet Care,Household
180340,Insecticides,Pest Control,Household
979630,Hair Styling,Hair Care,Household
870199,Squash,Juices,Beverages
1032559,Single Consumption RTD Beverages,RTD Beverages,Beverages
135160,Powdered Milk,Milk & Creamers,Beverages
158002,Meal Accompaniments,Meal Accompaniments,Grocery
838159,Assorted,Pasta,Grocery
256048,Assorted,Biscuits,Grocery
831445,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
102301,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
822148,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1048129,Sugar Confectionary,Confectionery,Grocery
45529,Ambient Cooking Sauces,Sauce,Grocery
822346,Beef,Processed/Preserved Meat,Grocery
90619,Ambient Spreads,Spreads,Grocery
119122,Soy Milk,Long Life,Grocery
852262,Instant Small,Noodles,Grocery
11059,Crisp/Chips,Snacks,Grocery
1113640,Body Cleansing,Hand & Body Care,Household
372814,Sponges & Scrubbers,Cleaning Durables,Household
921013,Sponges & Scrubbers,Cleaning Durables,Household
1032199,Sponges & Scrubbers,Cleaning Durables,Household
1061107,Incense,General Needs,Household
836224,Facial Cleansing,Facial Care,Household
62620,Car Care Cleaning  Exterior,Car Care,Household
24361,Pet Food,Pet Care,Household
41191,Shaving Requisites,Toiletries Men,Household
1037356,Hair Treatment,Hair Care,Household
917368,Single Consumption RTD Beverages,RTD Beverages,Beverages
1082455,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
1045033,Dessert Ingredients,Desserts,Grocery
45781,Imported,Soups,Grocery
1049524,Body Cleansing,Hand & Body Care,Household
86398,Men's Hair Treatment,Men's Toiletries,Household
866311,Washing Detergents,Laundry Care,Household
894184,Baby Washing Aids,Baby Needs,Household
979396,Facial Cleansing,Facial Care,Household
1076902,Car Care Cleaning  Exterior,Car Care,Household
907450,Car Care Cleaning  Exterior,Car Care,Household
988585,Hair Treatment,Hair Care,Household
1079755,Instant Chocolate Drinks,Chocolate Drink,Beverages
216007,Single Consumption RTD Beverages,RTD Beverages,Beverages
898171,Meal Accompaniments,Meal Accompaniments,Grocery
51775,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1071124,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
57886,Specialty,Sauce,Grocery
11482,Instant Large,Noodles,Grocery
865555,Canned Fruit,Processed/Preserved Fruits,Grocery
1000240,Body Cleansing,Hand & Body Care,Household
970432,Eye Cosmetics,Cosmetics,Household
391282,Men's Hair Treatment,Men's Toiletries,Household
217672,Washing Detergents,Laundry Care,Household
1037590,Dish Wash,Cleaning Consumables,Household
8458,Sponges & Scrubbers,Cleaning Durables,Household
9736,Baby Ready Meals,Baby Foods,Household
25927,Illumination,General Needs,Household
62989,Facial Cleansing,Facial Care,Household
139804,RTD,Juices,Beverages
917359,Single Consumption RTD Beverages,RTD Beverages,Beverages
1027231,Single Consumption RTD Beverages,RTD Beverages,Beverages
82150,Single Consumption RTD Beverages,RTD Beverages,Beverages
7288,Assorted,Pasta,Grocery
47230,Wafers,Biscuits,Grocery
887794,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
976507,Cereal Bars,Cereals,Grocery
225295,Ambient Regular Noodles,Pasta & Noodles,Grocery
25630,Imported,Soups,Grocery
833416,Imported,Soups,Grocery
21355,Paste/Mixes,Seasoning,Grocery
915037,Body Cleansing,Hand & Body Care,Household
366946,Razors & Blades,Men's Toiletries,Household
217699,Washing Detergents,Laundry Care,Household
211372,Dish Wash,Cleaning Consumables,Household
842281,Baby Ready Meals,Baby Foods,Household
889738,Skin and Hair Care,Baby Needs,Household
1018024,Facial Cleansing,Facial Care,Household
210526,Facial Cleansing,Facial Care,Household
98053,Car Care Cleaning  Exterior,Car Care,Household
103975,Pet Food,Pet Care,Household
840625,In wash,Laundry,Household
989503,Instant Chocolate Drinks,Chocolate Drink,Beverages
823687,Cordial,Juices,Beverages
49246,Powdered Milk,Milk & Creamers,Beverages
999601,Cheese Blocks,Cheese,Chilled
1021192,Stirred Yogurt,Yoghurt,Chilled
97720,Orid,Pulses,Grocery
9808,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
831517,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1082419,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
1067083,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
1103416,Ambient Cooking Sauces,Sauce,Grocery
65581,Ambient Cooking Sauces,Sauce,Grocery
116764,Ambient Table Sauces,Sauce,Grocery
109618,Regular,Noodles,Grocery
427498,Packaged Dry Pasta,Pasta & Noodles,Grocery
26566,Canned Fruit,Processed/Preserved Fruits,Grocery
1076767,Snack-Crisps & Chips,Snacks,Grocery
2986,Imported,Soups,Grocery
986524,Body Cleansing,Hand & Body Care,Household
1054141,Lip Cosmetics,Cosmetics,Household
1066273,Lip Cosmetics,Cosmetics,Household
1059685,Lip Cosmetics,Cosmetics,Household
1054150,Lip Cosmetics,Cosmetics,Household
816658,Men's Fragrance,Men's Toiletries,Household
887434,Washing Detergents,Laundry Care,Household
919357,Baby Ready Meals,Baby Foods,Household
390994,Facial Cleansing,Facial Care,Household
29626,Car Care Cleaning  Exterior,Car Care,Household
89206,Mouth Wash & Breath Freshener,Oral Care,Household
108781,Insecticides,Pest Control,Household
878695,Cans,Carbonated,Beverages
544966,RTD,Juices,Beverages
413683,Condensed Milk,Dessert Ingredients,Grocery
817243,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1024621,Sugar Confectionary,Confectionery,Grocery
268918,Cereal Bars,Cereals,Grocery
62980,Ambient Cooking Sauces,Sauce,Grocery
185686,Ambient Cooking Sauces,Sauce,Grocery
54871,Tomato Based,Sauce,Grocery
605347,Dessert Fruits & Nuts,Desserts,Grocery
111166,Sauce/Topping,Desserts,Grocery
873493,Imported,Soups,Grocery
1000231,Body Cleansing,Hand & Body Care,Household
1000069,Body Cleansing,Hand & Body Care,Household
822481,Razors & Blades,Men's Toiletries,Household
1103209,Dish Wash,Cleaning Consumables,Household
1090780,Sponges & Scrubbers,Cleaning Durables,Household
34621,Baby Wipes,Baby Needs,Household
34576,Illumination,General Needs,Household
905686,Facial Cleansing,Facial Care,Household
423943,Facial Cleansing,Facial Care,Household
816793,Facial Cleansing,Facial Care,Household
1063951,Mouth Wash & Breath Freshener,Oral Care,Household
1120201,Pet Food,Pet Care,Household
1010662,Pet Food,Pet Care,Household
25648,Cans,Carbonated,Beverages
1003174,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
1026628,Chilled Cakes,Desserts,Chilled
898909,Prepared Meals,Baby Foods,Grocery
113317,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
598156,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1006099,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
1071115,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
null,Cereal Bars,Cereals,Grocery
1088701,Ambient Cooking Sauces,Sauce,Grocery
851956,Ambient Cooking Sauces,Sauce,Grocery
878317,Sauce/Topping,Desserts,Grocery
842236,Canned Fruit,Processed/Preserved Fruits,Grocery
142909,Body Cleansing,Hand & Body Care,Household
503836,Eye Cosmetics,Cosmetics,Household
1054096,Lip Cosmetics,Cosmetics,Household
1016233,Men's Fragrance,Men's Toiletries,Household
406537,Men's Hair Treatment,Men's Toiletries,Household
956329,Washing Detergents,Laundry Care,Household
262051,Washing Detergents,Laundry Care,Household
924415,Tooth Picks & BBQ Sticks,Disposable Table Ware,Household
24460,Baby Ready Meals,Baby Foods,Household
917395,Baby Gift Packs,Baby Needs,Household
25999,Illumination,General Needs,Household
11464,Cans,Carbonated,Beverages
846979,Cans,Carbonated,Beverages
1042405,Instant Chocolate Drinks,Chocolate Drink,Beverages
1045492,Single Consumption RTD Beverages,RTD Beverages,Beverages
989143,Single Consumption RTD Beverages,RTD Beverages,Beverages
1110643,Powdered Milk,Milk & Creamers,Beverages
1111201,Powdered Milk,Milk & Creamers,Beverages
999565,Cheese Blocks,Cheese,Chilled
995983,Pastes,Seasoning & Coconut Cream,Grocery
1090249,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
367099,Ambient Cooking Sauces,Sauce,Grocery
1002076,Lip Cosmetics,Cosmetics,Household
1104901,Men's Facial Care,Men's Toiletries,Household
8449,Sponges & Scrubbers,Cleaning Durables,Household
89908,Skin and Hair Care,Baby Needs,Household
329407,Car Care Cleaning  Exterior,Car Care,Household
1015576,Oral Accessories,Oral Care,Household
80998,Pet Food,Pet Care,Household
98845,RTD,Juices,Beverages
82123,Single Consumption RTD Beverages,RTD Beverages,Beverages
89710,Margarine,Spreads,Chilled
898765,Prepared Meals,Baby Foods,Grocery
839842,Assorted,Pasta,Grocery
132010,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1033387,Sugar Confectionary,Confectionery,Grocery
1033405,Sugar Confectionary,Confectionery,Grocery
144520,Imported,Confectionery,Grocery
126259,Muesli,Cereals,Grocery
1069963,Snack-Crisps & Chips,Snacks,Grocery
1054060,Lip Cosmetics,Cosmetics,Household
998935,Lip Cosmetics,Cosmetics,Household
263122,Washing Detergents,Laundry Care,Household
919339,Baby Ready Meals,Baby Foods,Household
244411,Baby Ready Meals,Baby Foods,Household
907360,Baby Ready Meals,Baby Foods,Household
907342,Baby Ready Meals,Baby Foods,Household
1023100,Illumination,General Needs,Household
105028,Facial Cleansing,Facial Care,Household
129283,Facial Cleansing,Facial Care,Household
100627,Pet Food,Pet Care,Household
130354,Pet Food,Pet Care,Household
65149,Powdered Milk,Milk & Creamers,Beverages
17827,Stirred Yogurt,Yoghurt,Chilled
143152,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
869173,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1112488,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
1014271,Multiple Consumption Chocolates,Confectionery,Grocery
408490,Cereal Bars,Cereals,Grocery
393154,Cereal Bars,Cereals,Grocery
366892,Ambient Table Sauces,Sauce,Grocery
918799,Dessert Fruits & Nuts,Desserts,Grocery
1008448,Wheat Flour,Flour,Grocery
8269,Ambient Spreads,Spreads,Grocery
40507,Canned Fruit,Processed/Preserved Fruits,Grocery
1063519,Snack-Crisps & Chips,Snacks,Grocery
986497,Body Cleansing,Hand & Body Care,Household
406663,Body Cleansing,Hand & Body Care,Household
768904,Body Cleansing,Hand & Body Care,Household
998989,Lip Cosmetics,Cosmetics,Household
894103,Washing Detergents,Laundry Care,Household
372859,Gloves,General Needs,Household
1013983,Illumination,General Needs,Household
26215,Illumination,General Needs,Household
1078765,Facial Cleansing,Facial Care,Household
82519,Facial Cleansing,Facial Care,Household
997612,Car Care Air Freshener,Car Care,Household
90556,Single Consumption RTD Beverages,RTD Beverages,Beverages
520171,Salt,Seasoning & Coconut Cream,Grocery
388609,Healthy Biscuits,Biscuits,Grocery
1084975,Ambient Cooking Sauces,Sauce,Grocery
1026610,Ambient Cooking Sauces,Sauce,Grocery
1044439,Canned Vegetables,Processed / Preserved Vegetables,Grocery
1108357,Wheat Flour,Flour,Grocery
903805,Washing Detergents,Laundry Care,Household
498589,Sponges & Scrubbers,Cleaning Durables,Household
957490,Facial Cleansing,Facial Care,Household
26746,Insecticides,Pest Control,Household
418273,Party Candles,Party Ware,Household
11356,Cans,Carbonated,Beverages
90808,Single Consumption RTD Beverages,RTD Beverages,Beverages
991519,Single Consumption RTD Beverages,RTD Beverages,Beverages
102886,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1070584,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
899890,Unclassified,Condiments,Grocery
72196,Dessert Fruits & Nuts,Desserts,Grocery
1093480,Dessert Fruits & Nuts,Desserts,Grocery
853216,Instant Small,Noodles,Grocery
1055662,Liquid Cooking Oils & Fats,Oils/Fats,Grocery
1068559,Canned Fruit,Processed/Preserved Fruits,Grocery
1078099,Canned Fruit,Processed/Preserved Fruits,Grocery
833389,Imported,Soups,Grocery
918529,Dish Wash,Cleaning Consumables,Household
1114765,Sponges & Scrubbers,Cleaning Durables,Household
372913,Baby Ready Meals,Baby Foods,Household
2779,Skin Care,Toiletries Unisex,Household
12598,Illumination,General Needs,Household
1043044,Facial Cleansing,Facial Care,Household
115297,Cling Wraps,Kitchen Needs,Household
848185,Shaving Requisites,Toiletries Men,Household
1032604,Single Consumption RTD Beverages,RTD Beverages,Beverages
128167,Salt,Seasoning & Coconut Cream,Grocery
209293,Meal Accompaniments,Meal Accompaniments,Grocery
898378,Prepared Meals,Baby Foods,Grocery
10186,Assorted,Pasta,Grocery
20680,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
50434,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
122884,Multiple Consumption Chocolates,Confectionery,Grocery
837691,Pre Mix,Desserts,Grocery
1077307,Ambient Spreads,Spreads,Grocery
106765,Paste/Mixes,Seasoning,Grocery
986488,Body Cleansing,Hand & Body Care,Household
55726,Body Cleansing,Hand & Body Care,Household
1038265,Men's Facial Care,Men's Toiletries,Household
983509,Men's Fragrance,Men's Toiletries,Household
1035835,Washing Detergents,Laundry Care,Household
82870,Sponges & Scrubbers,Cleaning Durables,Household
278512,Sponges & Scrubbers,Cleaning Durables,Household
100510,Baby Gift Packs,Baby Needs,Household
1015684,Other Feminine Hygiene Needs,Personal Hygiene,Household
1013686,Pet Food,Pet Care,Household
835990,Insecticides,Pest Control,Household
815911,Shaving Requisites,Toiletries Men,Household
11950,Shaving Requisites,Toiletries Men,Household
22705,Hair Treatment,Hair Care,Household
115954,Single Consumption RTD Beverages,RTD Beverages,Beverages
38518,Single Consumption RTD Beverages,RTD Beverages,Beverages
893680,Single Consumption RTD Beverages,RTD Beverages,Beverages
919303,Powdered Milk,Milk & Creamers,Beverages
496177,Salt,Seasoning & Coconut Cream,Grocery
131443,Spices,Seasoning & Coconut Cream,Grocery
6811,Assorted,Pasta,Grocery
32245,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
917620,Cereal Bars,Cereals,Grocery
62944,Soya Meat,Processed / Preserved Vegetables,Grocery
831841,Imported,Soups,Grocery
20491,Paste/Mixes,Seasoning,Grocery
1057264,Body Cleansing,Hand & Body Care,Household
1106467,Body Cleansing,Hand & Body Care,Household
208996,Razors & Blades,Men's Toiletries,Household
787210,Dish Wash,Cleaning Consumables,Household
4264,Baby Ready Meals,Baby Foods,Household
130732,Illumination,General Needs,Household
390787,Facial Cleansing,Facial Care,Household
401857,Facial Cleansing,Facial Care,Household
12697,In wash,Laundry,Household
366352,Single Consumption RTD Beverages,RTD Beverages,Beverages
850867,RTD,Tea,Beverages
121291,Salt,Seasoning & Coconut Cream,Grocery
23092,Prepared Meals,Baby Foods,Grocery
11698,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
137743,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
384496,Multiple Consumption Chocolates,Confectionery,Grocery
267919,Ambient Cooking Sauces,Sauce,Grocery
1033873,Body Cleansing,Hand & Body Care,Household
89377,Men's Fragrance,Men's Toiletries,Household
903985,Sponges & Scrubbers,Cleaning Durables,Household
701089,Baby Wipes,Baby Needs,Household
918979,Accessories,Baby Needs,Household
1118860,Incense,General Needs,Household
367576,Facial Cleansing,Facial Care,Household
706516,Pet Food,Pet Care,Household
3580,Single Consumption RTD Beverages,RTD Beverages,Beverages
134953,Salt,Seasoning & Coconut Cream,Grocery
57058,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
131506,Unclassified,Processed / Preserved Vegetables,Grocery
1079035,Dessert Fruits & Nuts,Desserts,Grocery
371491,Instant Mixes,Flour,Grocery
84445,Ambient Spreads,Spreads,Grocery
1049002,Liquid Cooking Oils & Fats,Oils/Fats,Grocery
870838,Cutlery,Disposables,Household
1094182,Body Cleansing,Hand & Body Care,Household
830833,Body Cleansing,Hand & Body Care,Household
133657,Body Cleansing,Hand & Body Care,Household
1001977,Lip Cosmetics,Cosmetics,Household
1119517,Dish Wash,Cleaning Consumables,Household
26827,Sponges & Scrubbers,Cleaning Durables,Household
924433,Tooth Picks & BBQ Sticks,Disposable Table Ware,Household
362392,Facial Cleansing,Facial Care,Household
836251,Facial Cleansing,Facial Care,Household
753388,Tooth Paste,Oral Care,Household
31462,Party Candles,Party Ware,Household
925477,Party Accessories,Party Ware,Household
212677,Cordial,Juices,Beverages
207286,Single Consumption RTD Beverages,RTD Beverages,Beverages
828430,Powdered Milk,Milk & Creamers,Beverages
379312,Muesli,Cereals,Grocery
1055968,Ambient Cooking Sauces,Sauce,Grocery
14434,Ambient Cooking Sauces,Sauce,Grocery
824119,Chilie Based,Sauce,Grocery
207340,Sauce/Topping,Desserts,Grocery
48391,Ambient Spreads,Spreads,Grocery
1077964,Body Cleansing,Hand & Body Care,Household
821752,Body Cleansing,Hand & Body Care,Household
1016323,Body Cleansing,Hand & Body Care,Household
1002400,Eye Cosmetics,Cosmetics,Household
1054105,Lip Cosmetics,Cosmetics,Household
1002013,Lip Cosmetics,Cosmetics,Household
1002031,Lip Cosmetics,Cosmetics,Household
1063348,Men's Fragrance,Men's Toiletries,Household
248146,Washing Detergents,Laundry Care,Household
