outlet_code,item_code,DATE,sales_qty
E,116836,8/26/2022,4
B,113281,10/10/2022,2
D,11293,2/25/2022,6
D,117610,3/15/2022,8
D,102490,5/12/2022,104.6700005
A,94336,3/18/2022,1
C,40759,4/26/2022,6
C,107269,2/6/2022,1
C,111337,8/5/2022,7
B,120418,4/8/2022,5
C,121291,9/15/2022,3
B,117925,5/23/2022,10
B,13795,6/13/2022,1
E,42685,4/4/2022,9
B,952,9/25/2022,2
A,120418,2/21/2022,3
A,25000,4/30/2022,3
A,36808,6/12/2022,133
A,123307,6/13/2022,104
A,40381,8/3/2022,23
D,36808,2/26/2022,124
A,259,8/31/2022,3
D,36808,5/26/2022,77
D,42154,9/21/2022,23.55000043
A,116836,7/10/2022,15
E,46150,6/12/2022,2
A,124414,6/29/2022,1
C,29653,2/11/2022,7
B,91438,9/1/2022,7
E,117376,4/17/2022,1
E,117925,7/11/2022,3
E,116836,7/30/2022,5
A,23785,3/8/2022,7
A,120499,3/27/2022,2
D,13795,1/22/2022,11
D,3940,2/18/2022,1
D,952,3/14/2022,5
D,11293,3/17/2022,18
D,110527,9/11/2022,1
D,3679,10/16/2022,9
C,10591,6/11/2022,1
C,117160,7/30/2022,8
B,3328,7/29/2022,3
A,43135,3/6/2022,24
D,2806,7/1/2022,3
D,121174,9/2/2022,1
D,42685,9/13/2022,20
C,6640,1/28/2022,6
C,44989,9/13/2022,1
B,36808,5/1/2022,23
B,29941,7/20/2022,13
A,23785,3/5/2022,9
D,116836,3/29/2022,12
D,24136,5/28/2022,13
D,41488,7/15/2022,1
C,10195,2/8/2022,2
A,23938,3/13/2022,3
A,29653,9/26/2022,3
D,98809,3/8/2022,30
C,122767,7/27/2022,10
C,121174,7/30/2022,4
C,110320,8/5/2022,7
A,9979,10/13/2022,3
B,117520,2/17/2022,7
B,102490,6/9/2022,24.80000019
E,107224,7/4/2022,3
B,11509,8/31/2022,2
B,122767,10/7/2022,4
D,268,1/23/2022,6
D,29653,2/14/2022,18
D,123307,2/16/2022,101
D,95137,3/21/2022,8
D,43135,8/6/2022,14
D,45115,8/23/2022,1
D,259,10/8/2022,9
A,42154,3/15/2022,27.06999987
A,29896,4/8/2022,10
E,42685,10/10/2022,18
B,7450,2/24/2022,4
B,36808,5/25/2022,44
B,43405,6/19/2022,3
B,121039,7/12/2022,1
E,110860,4/5/2022,1
A,40759,2/9/2022,5
A,10924,4/21/2022,3
A,40759,6/26/2022,13
D,6640,1/26/2022,6
D,42154,2/8/2022,26.2440002
C,118033,9/2/2022,1
D,30778,4/28/2022,2
A,898,9/12/2022,43
B,23785,3/18/2022,5
B,122686,4/6/2022,6
C,898,2/18/2022,52
B,42154,5/23/2022,24.08799982
B,46150,9/8/2022,8
C,36808,5/28/2022,40
C,898,10/2/2022,52
E,122767,8/29/2022,10
E,31579,10/7/2022,1
A,117376,6/2/2022,5
D,13948,2/25/2022,3
A,123703,9/5/2022,1
A,43405,9/5/2022,3
C,10204,6/12/2022,52
C,110077,7/11/2022,1
C,107863,8/2/2022,5
B,123307,8/26/2022,44
A,42154,4/17/2022,15.15799999
A,29653,5/20/2022,7
D,107863,2/21/2022,6
D,12040,3/19/2022,6
D,13795,4/5/2022,6
D,23938,8/20/2022,16
C,259,2/15/2022,10
C,107836,2/25/2022,8
B,43135,6/2/2022,2
E,116836,7/14/2022,1
A,106054,2/25/2022,2
A,11293,4/16/2022,6
A,40381,4/17/2022,6
A,119779,4/26/2022,12
D,117187,1/25/2022,3
A,107836,7/17/2022,4
A,116062,8/4/2022,3
D,117520,5/24/2022,11
D,43279,6/24/2022,1
D,43135,8/19/2022,12
C,91438,8/4/2022,1
C,10195,9/8/2022,1
A,124414,6/2/2022,4
A,3427,9/18/2022,2
D,117223,3/5/2022,10
D,121174,4/12/2022,15
C,7450,4/29/2022,1
C,118429,5/31/2022,1
B,18223,8/27/2022,141
B,18223,9/1/2022,130
E,18223,9/1/2022,19
D,18223,6/8/2022,121
A,123307,4/27/2022,115
E,43738,8/17/2022,1
B,13741,3/3/2022,3
B,123307,8/14/2022,39
D,57058,4/1/2022,5
E,42154,8/31/2022,9.066000104
C,117286,4/18/2022,6
C,102490,5/29/2022,36.47800022
B,40759,2/10/2022,11
C,45421,8/2/2022,8
