outlet_code,item_department,week,total_sales_qty,sales_next_week,fe_avg_4_week_sales,fe_4_weeks_std_dev_weekly,fe_4_weeks_weekly_min_sales,fe_4_weeks_weekly_max_sales,previous_week_sales,prev_2_weeks_sales,prev_3_weeks_sales,prev_month_sales,outlet_min_sales,outlet_max_sales,fe_sales_change_vs_next_week,fe_sales_change_vs_previous_week,fe_sales_to_max_sales_ratio,fe_cumulative_sales,month,week_month,week_year,quarter_year,outlet_area,outlet_parking_lots,outlet_profile_category,outlet_cluster_category,item_category,row
A,Beverages,2022-01-17,598.0,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3516.0,744.0,0.0,0.12994350282485875,598.0,1,3,3,1,10150,52,Moderate,Small,Ambient Liquid Milk,1.0
A,Beverages,2022-01-17,598.0,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3516.0,744.0,0.0,0.12994350282485875,598.0,1,3,3,1,10150,52,Moderate,Small,Powdered Milk,2.0
A,Beverages,2022-01-17,598.0,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3516.0,744.0,0.0,0.12994350282485875,598.0,1,3,3,1,10150,52,Moderate,Small,Single Consumption RTD Beverages,3.0
A,Beverages,2022-01-17,598.0,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3516.0,744.0,0.0,0.12994350282485875,598.0,1,3,3,1,10150,52,Moderate,Small,Multiple Consumption RTD Beverages,4.0
A,Beverages,2022-01-17,598.0,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3516.0,744.0,0.0,0.12994350282485875,598.0,1,3,3,1,10150,52,Moderate,Small,Non Flavored Tea,5.0
B,Chilled,2022-01-17,64.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,98.0,-109.0,0.013906996957844416,185383.0,1,3,3,1,11500,50,High,Medium,Fat Spread,1.0
B,Chilled,2022-01-17,64.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,98.0,-109.0,0.013906996957844416,185383.0,1,3,3,1,11500,50,High,Medium,Curd,2.0
B,Chilled,2022-01-17,64.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,98.0,-109.0,0.013906996957844416,185383.0,1,3,3,1,11500,50,High,Medium,Butter,3.0
B,Chilled,2022-01-17,64.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,98.0,-109.0,0.013906996957844416,185383.0,1,3,3,1,11500,50,High,Medium,Whipping Cream,4.0
B,Chilled,2022-01-17,64.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,98.0,-109.0,0.013906996957844416,185383.0,1,3,3,1,11500,50,High,Medium,Cheese Slices,5.0
B,Beverages,2022-01-17,217.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,409.0,-226.0,0.04715341156019122,161191.0,1,3,3,1,11500,50,High,Medium,Ambient Liquid Milk,1.0
B,Beverages,2022-01-17,217.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,409.0,-226.0,0.04715341156019122,161191.0,1,3,3,1,11500,50,High,Medium,Single Consumption RTD Beverages,2.0
B,Beverages,2022-01-17,217.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,409.0,-226.0,0.04715341156019122,161191.0,1,3,3,1,11500,50,High,Medium,Powdered Milk,3.0
B,Beverages,2022-01-17,217.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,409.0,-226.0,0.04715341156019122,161191.0,1,3,3,1,11500,50,High,Medium,Multiple Consumption RTD Beverages,4.0
B,Beverages,2022-01-17,217.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2395.0,409.0,-226.0,0.04715341156019122,161191.0,1,3,3,1,11500,50,High,Medium,Non Flavored Tea,5.0
E,Beverages,2022-01-17,0.0,0.0,1195.5,479.17533325495793,598.0,1744.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-505.0,0.0,552778.0,1,3,3,1,10000,12,High,Medium,Ambient Liquid Milk,1.0
E,Beverages,2022-01-17,0.0,0.0,1195.5,479.17533325495793,598.0,1744.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-505.0,0.0,552778.0,1,3,3,1,10000,12,High,Medium,Single Consumption RTD Beverages,2.0
E,Beverages,2022-01-17,0.0,0.0,1195.5,479.17533325495793,598.0,1744.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-505.0,0.0,552778.0,1,3,3,1,10000,12,High,Medium,Powdered Milk,3.0
E,Beverages,2022-01-17,0.0,0.0,1195.5,479.17533325495793,598.0,1744.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-505.0,0.0,552778.0,1,3,3,1,10000,12,High,Medium,Multiple Consumption RTD Beverages,4.0
E,Beverages,2022-01-17,0.0,0.0,1195.5,479.17533325495793,598.0,1744.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-505.0,0.0,552778.0,1,3,3,1,10000,12,High,Medium,Non Flavored Tea,5.0
D,Chilled,2022-01-17,107.0,300.0,1439.5,281.03321274658384,1098.0,1744.0,0.0,0.0,0.0,0.0,52.0,4602.0,193.0,-85.0,0.02325076053889613,428693.0,1,3,3,1,11237,68,Moderate,Small,Fat Spread,1.0
D,Chilled,2022-01-17,107.0,300.0,1439.5,281.03321274658384,1098.0,1744.0,0.0,0.0,0.0,0.0,52.0,4602.0,193.0,-85.0,0.02325076053889613,428693.0,1,3,3,1,11237,68,Moderate,Small,Curd,2.0
D,Chilled,2022-01-17,107.0,300.0,1439.5,281.03321274658384,1098.0,1744.0,0.0,0.0,0.0,0.0,52.0,4602.0,193.0,-85.0,0.02325076053889613,428693.0,1,3,3,1,11237,68,Moderate,Small,Butter,3.0
D,Chilled,2022-01-17,107.0,300.0,1439.5,281.03321274658384,1098.0,1744.0,0.0,0.0,0.0,0.0,52.0,4602.0,193.0,-85.0,0.02325076053889613,428693.0,1,3,3,1,11237,68,Moderate,Small,Cheese Slices,4.0
D,Chilled,2022-01-17,107.0,300.0,1439.5,281.03321274658384,1098.0,1744.0,0.0,0.0,0.0,0.0,52.0,4602.0,193.0,-85.0,0.02325076053889613,428693.0,1,3,3,1,11237,68,Moderate,Small,Whipping Cream,5.0
B,Grocery,2022-01-17,536.0,1568.0,1430.0,286.0256398763346,1098.0,1744.0,0.0,0.0,0.0,0.0,32.0,2395.0,1032.0,504.0,0.11647109952194698,190941.0,1,3,3,1,11500,50,High,Medium,Ambient Instant Noodles,1.0
B,Grocery,2022-01-17,536.0,1568.0,1430.0,286.0256398763346,1098.0,1744.0,0.0,0.0,0.0,0.0,32.0,2395.0,1032.0,504.0,0.11647109952194698,190941.0,1,3,3,1,11500,50,High,Medium,Rice,2.0
B,Grocery,2022-01-17,536.0,1568.0,1430.0,286.0256398763346,1098.0,1744.0,0.0,0.0,0.0,0.0,32.0,2395.0,1032.0,504.0,0.11647109952194698,190941.0,1,3,3,1,11500,50,High,Medium,Sweet Biscuits & Cookies Regular,3.0
B,Grocery,2022-01-17,536.0,1568.0,1430.0,286.0256398763346,1098.0,1744.0,0.0,0.0,0.0,0.0,32.0,2395.0,1032.0,504.0,0.11647109952194698,190941.0,1,3,3,1,11500,50,High,Medium,"Snack-Nuts,Peas & Mixes",4.0
B,Grocery,2022-01-17,536.0,1568.0,1430.0,286.0256398763346,1098.0,1744.0,0.0,0.0,0.0,0.0,32.0,2395.0,1032.0,504.0,0.11647109952194698,190941.0,1,3,3,1,11500,50,High,Medium,Sugar Confectionary,5.0
A,Grocery,2022-01-17,854.0,2683.0,1287.25,209.2643862039915,1098.0,1574.0,0.0,0.0,0.0,0.0,40.0,3516.0,1829.0,814.0,0.18557149065623643,63653.0,1,3,3,1,10150,52,Moderate,Small,Ambient Instant Noodles,1.0
A,Grocery,2022-01-17,854.0,2683.0,1287.25,209.2643862039915,1098.0,1574.0,0.0,0.0,0.0,0.0,40.0,3516.0,1829.0,814.0,0.18557149065623643,63653.0,1,3,3,1,10150,52,Moderate,Small,Rice,2.0
A,Grocery,2022-01-17,854.0,2683.0,1287.25,209.2643862039915,1098.0,1574.0,0.0,0.0,0.0,0.0,40.0,3516.0,1829.0,814.0,0.18557149065623643,63653.0,1,3,3,1,10150,52,Moderate,Small,Sweet Biscuits & Cookies Regular,3.0
A,Grocery,2022-01-17,854.0,2683.0,1287.25,209.2643862039915,1098.0,1574.0,0.0,0.0,0.0,0.0,40.0,3516.0,1829.0,814.0,0.18557149065623643,63653.0,1,3,3,1,10150,52,Moderate,Small,Crackers,4.0
A,Grocery,2022-01-17,854.0,2683.0,1287.25,209.2643862039915,1098.0,1574.0,0.0,0.0,0.0,0.0,40.0,3516.0,1829.0,814.0,0.18557149065623643,63653.0,1,3,3,1,10150,52,Moderate,Small,Sugar Confectionary,5.0
D,Beverages,2022-01-17,534.0,1158.0,1409.5,204.63707712272796,1173.0,1587.0,0.0,0.0,0.0,0.0,52.0,4602.0,624.0,147.0,0.11603650586701435,387210.0,1,3,3,1,11237,68,Moderate,Small,Ambient Liquid Milk,1.0
D,Beverages,2022-01-17,534.0,1158.0,1409.5,204.63707712272796,1173.0,1587.0,0.0,0.0,0.0,0.0,52.0,4602.0,624.0,147.0,0.11603650586701435,387210.0,1,3,3,1,11237,68,Moderate,Small,Single Consumption RTD Beverages,2.0
D,Beverages,2022-01-17,534.0,1158.0,1409.5,204.63707712272796,1173.0,1587.0,0.0,0.0,0.0,0.0,52.0,4602.0,624.0,147.0,0.11603650586701435,387210.0,1,3,3,1,11237,68,Moderate,Small,Powdered Milk,3.0
D,Beverages,2022-01-17,534.0,1158.0,1409.5,204.63707712272796,1173.0,1587.0,0.0,0.0,0.0,0.0,52.0,4602.0,624.0,147.0,0.11603650586701435,387210.0,1,3,3,1,11237,68,Moderate,Small,Multiple Consumption RTD Beverages,4.0
D,Beverages,2022-01-17,534.0,1158.0,1409.5,204.63707712272796,1173.0,1587.0,0.0,0.0,0.0,0.0,52.0,4602.0,624.0,147.0,0.11603650586701435,387210.0,1,3,3,1,11237,68,Moderate,Small,Concentrated Liquid Drinks,5.0
C,Beverages,2022-01-17,465.0,1569.0,1268.5,244.02527191529433,1010.0,1587.0,0.0,0.0,0.0,0.0,27.0,2903.0,1104.0,136.0,0.10104302477183832,251396.0,1,3,3,1,14425,41,High,Large,Ambient Liquid Milk,1.0
C,Beverages,2022-01-17,465.0,1569.0,1268.5,244.02527191529433,1010.0,1587.0,0.0,0.0,0.0,0.0,27.0,2903.0,1104.0,136.0,0.10104302477183832,251396.0,1,3,3,1,14425,41,High,Large,Powdered Milk,2.0
C,Beverages,2022-01-17,465.0,1569.0,1268.5,244.02527191529433,1010.0,1587.0,0.0,0.0,0.0,0.0,27.0,2903.0,1104.0,136.0,0.10104302477183832,251396.0,1,3,3,1,14425,41,High,Large,Single Consumption RTD Beverages,3.0
